tenure_months,monthly_charges,total_charges,num_support_tickets,contract_type,payment_method,has_addon_streaming,churned
53,77.6569141773029,3979.584815285357,3,one_year,credit_card,False,0
19,67.99404665113184,1329.533078119489,3,one_year,credit_card,False,1
63,101.70522428370575,6299.272813063713,5,two_year,paypal,True,0
15,58.80599457700373,919.305466235275,1,one_year,credit_card,False,0
39,89.45978874898415,3667.119214324475,1,month_to_month,paypal,False,0
28,66.23505923292866,1866.7180910737159,4,one_year,bank_transfer,False,1
37,104.43153834593829,3961.200970142228,1,two_year,debit_card,False,1
44,32.83514675774929,1421.4640298189468,1,one_year,bank_transfer,False,1
16,32.56597027201127,546.162944131465,6,two_year,bank_transfer,True,1
16,67.32340284489932,1072.7935049675482,1,month_to_month,credit_card,False,0
4,105.7025560393178,402.97438765540335,3,two_year,paypal,False,1
19,74.88483486461145,1396.4341423094888,2,month_to_month,bank_transfer,False,0
50,52.648181254734524,2757.725525696085,3,month_to_month,debit_card,True,1
10,91.08083192327341,830.9161968301122,3,month_to_month,credit_card,False,1
66,92.5352961652207,6229.863871725194,1,one_year,credit_card,True,0
33,89.78129242751079,2869.222086001746,3,one_year,debit_card,True,0
30,74.54325596774932,2275.2946867388605,0,two_year,credit_card,True,1
21,97.08600931011244,1930.5781680988102,3,month_to_month,credit_card,True,0
13,81.62397623988505,1043.433172814123,1,month_to_month,credit_card,True,0
49,62.49209866159538,3255.082866483454,4,month_to_month,paypal,False,0
66,67.1503515122679,4467.534011267696,1,two_year,credit_card,False,0
27,60.68503983189274,1597.409553907428,2,one_year,paypal,True,1
9,39.83253225336306,358.1297817089851,2,month_to_month,bank_transfer,False,0
54,66.75730986712165,3337.8498206769555,0,two_year,bank_transfer,True,0
68,59.345286539294506,3782.0909413679506,1,month_to_month,debit_card,False,0
35,103.53189596491393,3536.0926033400315,5,month_to_month,credit_card,True,1
31,102.85696337706366,3373.045946923388,4,month_to_month,bank_transfer,True,1
63,79.65270998911552,5091.253712344835,0,month_to_month,paypal,True,1
32,79.60615634448374,2500.569507488874,4,month_to_month,paypal,False,1
27,77.1965133257378,2060.039975625561,2,month_to_month,bank_transfer,False,1
0,84.50648126293251,0.0,2,two_year,debit_card,False,0
0,79.64772474664905,0.0,2,month_to_month,credit_card,True,1
55,82.65678264703216,4902.479973218192,2,two_year,credit_card,False,0
40,51.82004610972565,2086.4638604161005,1,one_year,bank_transfer,True,0
30,86.55876534894415,2607.459850324822,1,one_year,credit_card,False,0
20,42.82245508153969,833.7059786165958,0,month_to_month,bank_transfer,True,0
67,64.71848060016276,4249.540661247326,1,one_year,bank_transfer,False,0
48,64.7537094883801,2849.0647542852525,3,one_year,paypal,False,0
24,47.19586286697684,1162.9745595088357,2,month_to_month,bank_transfer,False,1
49,63.41581203281984,3158.8581119736837,1,month_to_month,debit_card,False,0
66,77.69446629170469,4935.585530254989,4,month_to_month,paypal,True,0
24,73.79280998044777,1784.8260923242347,2,month_to_month,debit_card,True,0
27,56.13626107715109,1547.4813104876732,0,month_to_month,bank_transfer,True,0
2,89.08696658183395,177.22493220993644,3,month_to_month,bank_transfer,False,1
0,46.761995568003755,0.0,2,one_year,bank_transfer,False,1
16,75.38371577655316,1102.6263878131358,2,month_to_month,bank_transfer,False,1
65,59.22576206901864,3970.945386503039,3,two_year,credit_card,False,0
54,62.57147744610721,3375.6898053104246,2,two_year,debit_card,False,0
46,65.6073769616517,3073.2325670109353,4,month_to_month,paypal,False,1
44,58.466030221449955,2603.8461624414676,0,two_year,debit_card,False,0
40,85.14847636100762,3317.035230320039,0,month_to_month,bank_transfer,False,0
57,64.6927978337149,3707.34740993353,3,month_to_month,credit_card,True,0
62,78.42026604921105,5222.781171026416,6,one_year,debit_card,False,0
10,77.98206410596507,840.2952818176676,0,two_year,debit_card,False,0
41,66.79414114353962,2665.2490474075994,1,one_year,debit_card,False,0
63,84.36695773788325,5208.12243320316,1,two_year,debit_card,True,0
18,68.09304323007888,1225.5492156467647,1,one_year,bank_transfer,True,1
12,55.137591848910986,678.9703625999085,1,month_to_month,credit_card,False,0
48,83.42024854422002,3945.6781047079135,3,one_year,paypal,False,0
19,63.86263374879403,1175.6770826229083,1,one_year,credit_card,False,0
48,78.92922042490375,3813.7805702497376,3,month_to_month,debit_card,False,0
9,78.257827904448,693.9708821368981,0,month_to_month,paypal,True,1
45,119.38392073385636,5356.464469403811,2,month_to_month,bank_transfer,True,0
36,66.89733737638814,2383.26531593068,4,one_year,bank_transfer,False,1
31,86.36140186548973,2561.8409843335703,1,month_to_month,credit_card,True,0
13,41.46613157404442,554.7795544447771,4,month_to_month,paypal,False,1
57,81.15151685649633,4814.587228292348,2,month_to_month,credit_card,False,0
21,64.79542738873758,1378.3785845038694,1,two_year,debit_card,False,1
12,91.27017856903053,1138.0017317034094,3,month_to_month,paypal,False,0
4,60.02124900076108,242.48095986406173,5,month_to_month,bank_transfer,False,1
37,81.56796396033678,2851.809661386611,2,month_to_month,debit_card,False,0
62,70.6001307706188,4030.576998935145,3,month_to_month,debit_card,False,0
32,99.26347000416997,2771.770297060067,3,month_to_month,bank_transfer,True,1
1,101.5075329887108,100.15333875031841,1,month_to_month,bank_transfer,True,1
44,63.18206841109966,2637.8696167755456,0,one_year,bank_transfer,True,0
1,40.62721139369416,39.7286389752646,2,one_year,paypal,False,0
9,84.08823337112197,744.4740640078111,1,month_to_month,credit_card,True,0
52,97.62558031117851,5022.456511585738,2,month_to_month,debit_card,True,0
61,78.26946586211008,4721.622047078686,3,month_to_month,paypal,False,0
62,78.07044694907844,5431.789357658002,2,month_to_month,credit_card,True,0
54,76.73414383512612,4072.361362032679,1,month_to_month,debit_card,True,0
10,60.93610532062529,608.1766294207018,2,one_year,debit_card,True,0
70,64.84095813517872,4553.8256781457285,0,two_year,paypal,False,0
67,85.65036361344796,5594.686678899339,3,month_to_month,paypal,False,0
10,57.007887347966715,573.510391622231,2,one_year,debit_card,False,1
70,54.93751212418083,3798.3533512362224,1,month_to_month,credit_card,True,0
1,48.40846559325496,48.058410046645776,1,month_to_month,debit_card,False,1
8,54.889185625189434,432.6130092431623,4,month_to_month,debit_card,False,1
22,39.897441146586935,919.2797572647142,5,month_to_month,bank_transfer,False,0
18,50.618950476204056,871.2681066277128,0,month_to_month,paypal,False,1
0,63.91379661020415,0.0,3,month_to_month,paypal,False,1
52,87.36353559453336,4565.426064216489,2,month_to_month,credit_card,False,0
18,70.35073803346117,1353.7053097155351,1,month_to_month,bank_transfer,False,1
2,53.865074971088156,108.37723813522165,5,month_to_month,paypal,False,1
25,56.63459989389404,1488.0655482189989,1,month_to_month,credit_card,True,0
11,53.51401583564793,580.4802020668774,1,month_to_month,paypal,False,0
67,59.15992192948058,3959.096138965316,2,one_year,credit_card,True,0
11,70.80672811109382,840.1955103232659,0,one_year,paypal,True,0
19,62.243786292514535,1242.7515451707172,4,two_year,debit_card,True,1
20,74.62019954511028,1656.0313950525447,1,month_to_month,debit_card,True,1
31,48.58186008310962,1671.1855790195175,1,month_to_month,paypal,True,0
55,66.50063926571644,3397.9929876916485,1,one_year,debit_card,False,0
68,37.71037491819222,2696.2265985131276,2,month_to_month,bank_transfer,False,0
31,50.32839006146378,1466.2768214605535,2,one_year,bank_transfer,True,0
60,82.2888024578495,4611.1848858882395,3,one_year,credit_card,True,1
39,75.35080572253108,3013.6751633042477,3,one_year,bank_transfer,False,0
17,92.6713740575125,1508.2875193071898,6,month_to_month,paypal,False,1
38,79.20449346412578,2832.073925649223,1,month_to_month,paypal,False,0
57,91.31370349440095,5125.956019984168,0,month_to_month,bank_transfer,False,0
60,66.7031123684047,4180.976511223378,0,one_year,debit_card,False,0
3,105.81445477362341,336.99379173605377,2,month_to_month,credit_card,False,1
52,52.34268970904799,2650.3382973534785,4,one_year,credit_card,False,0
4,86.86689783849957,316.7717047650261,2,one_year,credit_card,False,0
19,42.03216178619996,816.7480791222144,3,month_to_month,bank_transfer,False,0
29,45.686872630560764,1256.426440264599,1,month_to_month,debit_card,False,0
23,60.22634862074075,1374.5100317098386,1,month_to_month,debit_card,False,1
3,57.34887927305405,182.5430805098085,1,month_to_month,paypal,True,1
66,76.34820897598843,5402.86022019811,1,month_to_month,bank_transfer,True,1
37,86.71229855772489,3104.435725988801,2,two_year,debit_card,False,0
3,74.9782719735006,222.89466384526654,2,month_to_month,bank_transfer,False,1
2,50.87008372847276,102.9343988295142,3,month_to_month,paypal,False,1
37,70.20493368033796,2587.3442167576845,3,one_year,paypal,True,1
9,33.08242250746352,298.6520272039927,3,month_to_month,credit_card,False,0
16,66.54956028032032,1035.3631891460893,2,two_year,credit_card,False,0
42,54.13892447738849,2302.942910984834,2,one_year,paypal,False,0
38,66.41668013573174,2593.0628451938132,0,one_year,debit_card,False,0
42,64.45293476137961,2788.478116153041,4,one_year,debit_card,False,0
42,68.10310786142996,2994.4228814003195,5,month_to_month,debit_card,False,1
21,66.83957542506319,1407.2180601405728,1,month_to_month,paypal,True,1
26,104.38218140045858,2672.5115745563617,0,month_to_month,bank_transfer,True,1
7,43.531491464735915,292.10629841161335,2,month_to_month,paypal,False,0
4,81.6124523889397,346.21234935362276,3,month_to_month,debit_card,False,0
48,54.274277566950346,2628.8691873772996,3,one_year,credit_card,False,0
69,27.458049127682767,1951.0230845730032,2,one_year,debit_card,True,0
5,79.97271734503691,408.8303115461565,2,two_year,credit_card,False,0
19,99.01713359486318,1921.8011078252418,1,two_year,paypal,False,1
23,69.19810175791127,1457.0032733292792,4,month_to_month,debit_card,True,1
46,43.367104798850335,1914.980646541814,3,one_year,paypal,False,0
35,67.25106014213753,2486.820230390558,2,one_year,debit_card,False,0
4,61.1768450610911,246.2563728758883,3,two_year,debit_card,True,1
61,78.69839359039892,4696.4260537574155,1,two_year,bank_transfer,False,0
47,69.22141599030319,3249.536372030383,2,one_year,bank_transfer,True,0
8,118.44895802166991,950.4382059834105,1,month_to_month,debit_card,False,1
54,55.32847312997919,3090.851116756779,3,one_year,bank_transfer,True,1
51,78.40645659552258,4152.712398653376,5,two_year,debit_card,True,0
55,68.94775813889223,4335.042173300376,3,month_to_month,paypal,False,1
15,68.98306765781437,1045.224933481843,1,month_to_month,debit_card,True,1
54,82.38235970027506,4801.281459541683,2,one_year,bank_transfer,False,1
37,27.65513375758946,1015.9807248694185,4,month_to_month,debit_card,True,0
57,65.35748619009286,3638.1223946892355,5,one_year,credit_card,True,0
0,54.698077462051664,0.0,2,month_to_month,credit_card,True,0
10,99.32405639251364,1023.6229125366058,0,one_year,bank_transfer,False,1
20,57.2686134524033,1174.9633623243164,2,month_to_month,bank_transfer,False,0
9,97.41489014949956,922.4030096890989,2,month_to_month,paypal,False,0
53,83.51957711613846,4658.490619947202,2,month_to_month,debit_card,False,1
35,42.37672137018453,1515.524897746516,4,one_year,debit_card,False,1
25,48.8469040775427,1287.0485479015947,3,two_year,debit_card,True,1
12,62.15547974159434,836.363933464775,1,month_to_month,credit_card,True,1
9,53.6185067199991,468.66526980303667,1,two_year,bank_transfer,False,1
62,44.7775253730573,2870.3840369456584,3,month_to_month,credit_card,False,0
15,81.67050183666684,1200.0009202578644,3,month_to_month,bank_transfer,False,0
65,22.896602296433997,1555.9871417035856,1,one_year,debit_card,False,0
56,66.40119824233388,3912.994620040075,1,month_to_month,paypal,True,0
59,38.72370617356151,2404.9977705262177,0,one_year,bank_transfer,False,0
65,53.259326935522175,3358.023741862979,4,month_to_month,credit_card,True,0
24,73.97541354977437,1847.1060951969962,1,month_to_month,debit_card,False,1
53,47.095440582265546,2502.1678877876957,1,one_year,debit_card,False,0
6,77.94656616525728,462.47386990914237,2,month_to_month,debit_card,False,0
69,80.02170865244932,5428.584212192236,1,two_year,debit_card,True,0
18,71.47593963538745,1359.9823421082594,2,month_to_month,paypal,False,1
39,80.02416654228429,2996.329917929658,4,month_to_month,debit_card,False,0
70,21.233251724407552,1474.010224678159,0,month_to_month,debit_card,False,0
44,108.47254440845435,4609.122225928846,4,month_to_month,paypal,False,1
26,99.63471189084255,2671.5477317432187,2,one_year,paypal,False,1
10,61.85386655363031,647.4105372873025,2,month_to_month,bank_transfer,True,1
22,40.289216809554524,803.4033142257093,3,one_year,credit_card,True,1
67,31.763696804969904,2166.610596291784,3,month_to_month,debit_card,True,1
23,71.28937852205345,1682.0968426919255,2,month_to_month,credit_card,False,1
54,65.78562041846475,3594.4372505115875,2,month_to_month,paypal,True,0
1,65.25952253920467,59.50278775911979,1,two_year,credit_card,True,0
1,72.33960468047773,73.99753274941924,2,month_to_month,paypal,False,1
64,84.99101077852292,5538.613088726047,3,month_to_month,credit_card,False,0
69,64.54475904657914,4837.922153431636,3,month_to_month,paypal,False,1
33,44.668074605383154,1472.245466137631,3,month_to_month,credit_card,False,0
50,37.87486363409236,1982.8806556508027,0,month_to_month,credit_card,False,0
32,70.75445793364477,2308.034994091494,2,month_to_month,bank_transfer,False,1
26,93.92678970740494,2569.1870797793463,6,one_year,debit_card,True,0
26,52.59305964685134,1365.3825226413724,2,one_year,bank_transfer,False,0
59,16.995529054036478,967.2992162812627,2,month_to_month,debit_card,False,0
32,85.31910905452466,2502.2943653595953,0,one_year,credit_card,True,0
71,94.16525650961,6868.273169781711,1,month_to_month,debit_card,False,1
26,76.29934574303577,1890.2781563115211,1,month_to_month,credit_card,True,0
21,65.78075441258638,1388.5123061985787,2,month_to_month,debit_card,True,0
19,68.10382881220023,1344.5151676108057,1,two_year,paypal,False,1
50,59.20423393974078,2794.9097162727803,4,month_to_month,paypal,False,0
29,85.72647336583158,2494.6229483944844,1,month_to_month,debit_card,False,0
9,41.03284324059238,367.1804059130245,2,month_to_month,debit_card,False,1
10,62.12725057405911,647.8547000154932,3,month_to_month,credit_card,True,1
53,62.0593840084255,3335.9526850489424,1,month_to_month,bank_transfer,True,0
31,65.39727613776725,2020.5796824773201,1,month_to_month,credit_card,True,0
70,102.55707937388128,7392.957893829484,3,month_to_month,debit_card,True,0
55,41.150662983086804,2377.683228572027,0,month_to_month,debit_card,False,0
2,69.42643424650402,145.15251517690396,1,month_to_month,paypal,False,1
39,99.71042977288596,3898.5201486142655,1,month_to_month,debit_card,True,0
41,62.8389144157863,2555.055127527898,0,two_year,credit_card,True,0
23,68.63304423276074,1665.976480790419,1,month_to_month,bank_transfer,False,1
48,30.426686662212866,1467.176462978461,0,one_year,paypal,True,0
71,69.5730716185888,4787.517537998765,4,two_year,bank_transfer,False,0
49,139.08092804488362,6099.08612634154,4,month_to_month,bank_transfer,False,1
67,50.852145478512156,3264.893525980206,6,month_to_month,credit_card,True,0
33,73.09584489047677,2564.3032873326406,1,one_year,paypal,True,0
60,65.22632553873044,3725.1595810490744,3,one_year,bank_transfer,False,0
34,78.70507914342127,2655.434646415793,2,month_to_month,bank_transfer,False,1
42,102.28227846048975,3842.1830439614764,2,month_to_month,credit_card,False,1
39,53.1875258567171,1883.047808779277,2,two_year,paypal,False,0
71,63.02826068090025,4537.878440634431,2,month_to_month,bank_transfer,True,0
31,111.95021228089135,3301.921116165068,1,month_to_month,debit_card,True,0
30,33.12905165082581,1057.5101985633376,1,one_year,credit_card,False,0
69,55.96466107466435,3665.9608143300593,0,month_to_month,paypal,False,0
62,92.62714304506636,5358.193903938384,1,one_year,debit_card,True,1
1,73.23838734570136,72.83413269386502,2,two_year,debit_card,False,1
29,71.03664197985694,1936.1597502867119,1,month_to_month,bank_transfer,False,0
17,119.43618152110939,2015.1654924625939,2,month_to_month,credit_card,True,0
3,107.61752614015698,307.88915381056177,3,month_to_month,bank_transfer,True,1
15,55.48271915013549,827.9657974817379,3,month_to_month,debit_card,True,1
16,57.10279386725341,938.7714022511576,3,month_to_month,debit_card,False,1
50,72.05379541908933,3783.524006093784,2,one_year,debit_card,False,0
36,79.79252287744805,2813.568682696221,0,one_year,debit_card,False,0
19,92.34211622912062,1670.2728373827745,0,one_year,debit_card,False,1
40,49.17521527375773,1898.7597700214055,4,month_to_month,credit_card,False,0
47,56.786461124563914,2730.7550102578844,2,two_year,paypal,False,0
32,65.3788064020102,2171.3902736521213,1,two_year,credit_card,False,0
35,108.01080510868219,3693.085832361348,1,one_year,credit_card,False,1
31,56.19768917696108,1671.1745469133627,3,month_to_month,debit_card,False,1
8,49.82068044823494,403.06919786689133,1,one_year,debit_card,True,1
18,73.76148068598074,1251.72345030865,0,one_year,debit_card,False,0
70,49.02816710344816,3471.509109475264,3,two_year,credit_card,False,0
25,44.5628963099823,1118.7905011477021,2,two_year,paypal,False,0
41,57.83504105601766,2292.4200196903885,0,one_year,debit_card,False,0
47,40.022094407797155,1966.6362573631911,1,month_to_month,debit_card,False,0
19,64.37260016188598,1240.4493220801023,0,one_year,credit_card,False,0
15,77.65790190323384,1163.6762915997217,1,one_year,paypal,False,1
36,74.17299163746738,2629.181397738076,2,month_to_month,credit_card,False,1
42,56.45404115865937,2526.983638348029,2,month_to_month,bank_transfer,True,0
51,63.75463610786694,3092.891796577071,3,one_year,paypal,True,0
29,100.40212244833741,2744.2361515385537,4,month_to_month,paypal,True,0
7,65.06352408976828,465.7398508484737,3,month_to_month,debit_card,True,1
30,66.23053179252872,1965.934738413275,1,month_to_month,credit_card,True,0
20,67.16218002857714,1372.1698177071382,5,two_year,bank_transfer,True,1
60,73.68733414351328,4881.28129747093,1,two_year,paypal,False,0
37,97.82866358510624,3616.056022624048,1,month_to_month,debit_card,False,0
59,75.86153306533834,4171.694541411237,2,month_to_month,paypal,True,0
8,52.252199559950924,417.4970261746766,1,one_year,debit_card,False,1
45,67.85577662095527,3407.923894189228,0,one_year,credit_card,False,1
1,96.20079385733901,98.41682105326083,3,month_to_month,credit_card,False,1
59,89.3068422448555,4882.007046152391,2,month_to_month,bank_transfer,False,0
26,59.03854133510354,1538.551908288924,2,two_year,paypal,False,1
52,106.2253536311824,5400.674508997528,1,month_to_month,bank_transfer,False,1
57,45.79894300621932,2514.4648742287736,2,month_to_month,bank_transfer,True,0
67,51.20874516294482,3440.322470462938,4,month_to_month,paypal,True,0
26,84.9283643926592,2161.7065344677158,2,month_to_month,bank_transfer,True,0
36,61.41054708210998,2255.2983116428036,5,one_year,debit_card,False,0
68,42.317531459829404,2846.979257492896,3,one_year,bank_transfer,True,0
60,69.18167676453216,4201.072479468978,2,one_year,paypal,False,0
56,75.44666802256657,4400.105361373799,2,month_to_month,paypal,False,0
9,78.53680960042851,701.701385034676,3,one_year,paypal,False,1
56,50.378256837674435,2686.334566411267,1,one_year,bank_transfer,True,1
23,104.70045999547752,2281.2277995662835,4,one_year,bank_transfer,True,0
68,57.16735121723968,3994.9340547848433,1,two_year,debit_card,True,0
28,90.18223812510111,2432.1021843323606,0,one_year,bank_transfer,True,0
43,65.32238978164129,2922.4964160746795,3,month_to_month,paypal,True,0
52,63.580403192325555,3028.0575458941466,1,month_to_month,credit_card,True,0
61,79.67402787217027,4928.240688885069,1,one_year,credit_card,False,1
28,62.82785292922738,1753.1726299355805,1,two_year,debit_card,False,0
22,53.38604526796453,1078.4932140844764,1,month_to_month,debit_card,False,1
20,73.36411614222511,1434.8800264069212,1,one_year,bank_transfer,True,0
37,74.38879917239863,2807.811654385489,4,month_to_month,bank_transfer,False,1
33,65.30646368155479,2136.9503039232795,2,one_year,paypal,False,0
57,77.89622542292182,4760.409929978782,1,month_to_month,credit_card,False,0
18,30.599699360568483,511.4780013661874,2,one_year,credit_card,False,1
20,72.04845621437823,1408.6259144670016,2,one_year,paypal,False,1
65,87.35752200130224,5331.047262528409,1,month_to_month,debit_card,True,0
70,14.622535570712758,1102.6409798196664,1,two_year,debit_card,False,0
65,72.9635775574283,4965.4756501991715,1,two_year,bank_transfer,True,1
57,81.82641457704969,4805.145915493048,0,one_year,credit_card,False,1
56,71.14255226907122,4000.747376107229,1,one_year,credit_card,False,0
33,24.815722448447772,749.9295892108127,0,month_to_month,debit_card,True,0
55,73.6582946025741,3828.6324100992397,4,two_year,credit_card,True,0
19,103.40560841575498,1992.520500917089,4,one_year,paypal,True,1
12,65.54355648485577,785.596941013529,3,two_year,credit_card,True,0
43,49.66978756186612,2238.850320780871,4,month_to_month,credit_card,True,1
36,61.189842783040135,2312.5905683738233,2,one_year,paypal,False,1
25,68.94082672673945,1650.8422942817267,0,month_to_month,debit_card,False,0
66,52.48320091953817,3414.6097100201055,2,month_to_month,paypal,True,0
28,47.568179766937526,1332.5979371676685,2,one_year,credit_card,False,0
6,76.02249485704048,468.61464037050985,1,one_year,debit_card,False,1
45,92.96512849031977,3799.958157641448,2,month_to_month,debit_card,False,1
14,101.12032653899955,1403.5143278350467,1,two_year,credit_card,False,0
40,42.65772231931534,1505.3987683182847,1,month_to_month,credit_card,False,0
45,40.6028496778573,1850.4495390171617,2,two_year,paypal,False,0
18,78.31331939866234,1465.0546284542922,1,month_to_month,debit_card,False,0
54,77.34288753772411,4182.019221337517,2,one_year,debit_card,False,0
30,67.7050858799982,2054.0446682584707,4,two_year,credit_card,False,0
50,117.85353446036483,5614.9434213826235,3,month_to_month,bank_transfer,False,0
9,53.50754857590775,480.337519511013,0,two_year,debit_card,False,1
60,77.86281806294849,4440.778103986367,1,month_to_month,debit_card,True,0
7,92.38174169702053,651.3264546384678,1,one_year,credit_card,False,1
15,68.79815504489737,956.09759927171,3,one_year,debit_card,True,1
55,106.03285208693012,6037.987562405563,5,month_to_month,bank_transfer,False,1
26,61.448910373409596,1597.810991237635,2,two_year,paypal,False,1
36,84.42450745599584,3044.3168817446426,1,month_to_month,debit_card,False,1
56,108.3086938314572,6075.074888618641,0,month_to_month,paypal,False,0
57,83.70097927301028,4813.127881251143,4,month_to_month,credit_card,True,1
56,54.82030272013801,3326.042948830037,1,month_to_month,paypal,False,1
68,39.27830081910552,2669.5139361794054,2,one_year,paypal,False,0
14,50.25889690926227,690.0030799285562,0,month_to_month,credit_card,False,0
18,88.52753495666494,1482.8456569817563,4,month_to_month,paypal,False,1
45,77.62542780161951,3219.9929952358543,2,month_to_month,credit_card,True,0
15,50.758457398568005,726.7096212782549,3,month_to_month,bank_transfer,True,1
22,70.5052566219678,1518.4666967731296,2,month_to_month,credit_card,False,1
49,47.107995244263655,2333.399305492574,2,month_to_month,credit_card,True,1
33,75.16492373994454,2316.5994208859497,1,one_year,debit_card,True,1
11,75.46188211263102,836.4861327333293,0,month_to_month,bank_transfer,False,0
63,91.64686108870495,5806.019102117723,5,month_to_month,credit_card,True,1
68,65.30141143503455,4374.556705692058,3,month_to_month,paypal,False,1
